,Date,User,Tweet
61,2023-03-06 15:10:09+00:00,gaston37414753,@mercadopago A ver mercado pago. Si podes intervenir. ESTOS SON LOS ENVIOS DE MERCADO PAGO DELIVERY. ES UNA BURLA A LA GENTE NO LE REGALAN LA NAFTA... https://t.co/GxvMbi4qnM
62,2023-03-06 15:09:57+00:00,romanperroni,Lo mal que está funcionando @mercadopago
63,2023-03-06 15:04:30+00:00,Nairruggeri,"@CieloDiazz @mercadopago A mi tampoco, ne quedo más tranquila, vine solo a cer si alguien más se quejaba !!!"
64,2023-03-06 15:04:16+00:00,MarialexBlanco4,@mercadopago Hola necesito respuesta por favor
65,2023-03-06 15:03:04+00:00,CeciliaHoffman,@CieloDiazz @mercadopago A mi
66,2023-03-06 15:01:42+00:00,RubbishOMS,@CieloDiazz @mercadopago https://t.co/aX5wBnlEI7
67,2023-03-06 15:00:32+00:00,Ericruzozko,"@emicuzzilla @MiluFerrero @mercadopago Me paso lo mismo desde ayer a las 22 sigo esperando que impacte una transferencia y nada, son un desastre"
68,2023-03-06 15:00:00+00:00,maspormas,"@LaSEMOVI informa que una de las formas favoritas para pagar tu pasaje es a través de @mercadopago 🚇

¿Cómo pagas tu pasaje?🤔
👉🏻 https://t.co/dXc82QsZJK https://t.co/wKyODcYj4h"
69,2023-03-06 14:58:45+00:00,ValeBellene,@DChamorro89 @mercadopago @MP_ayuda @BancoNacion La cuenta oficial es la q subí cualquier otra es fraude
70,2023-03-06 14:58:03+00:00,RichiAguirre,"@CieloDiazz @mercadopago También hay problemas con los bancos, no dejan hacer transferencias. No sé que está pasando."
71,2023-03-06 14:56:04+00:00,MiluFerrero,"@emicuzzilla @mercadopago Sii, hoy a la mañana decía lo de que no se podía transferir, justo una hora después de que ya había transferido. No podían avisarme con anticipación??????? Más salada imposible."
72,2023-03-06 14:54:59+00:00,defensoriaPBA,"@Ger1980QLM @mercadopago @dzapatillas @DNDConsumidor @GLorenzino @AGC_Control Gracias por comunicarse, le enviamos al privado. Saludos cordiales!"
73,2023-03-06 14:54:28+00:00,emicuzzilla,@MiluFerrero Hice una transferencia ayer a las 19hs y todavía no llegó. Realice el reclamo a @mercadopago y me dicen que no recibieron ninguna transferencia y que me comunique con el banco emisor. Lo gracioso es que ellos mismos informan que las transferencias están con demoras. Un desastre
74,2023-03-06 14:53:42+00:00,Ger1980QLM,@mercadopago cuando vana solucionar el problema con los ingresos?? tengo 6000 pesos perdidos!!!!! y ni noticias!! Cc @dzapatillas @DNDConsumidor  @defensoriaPBA @GLorenzino @AGC_Control
75,2023-03-06 14:50:12+00:00,daanielacella,@mercadopago necesito q me llegue un transferencia 🙄
76,2023-03-06 14:45:06+00:00,ani_caserez17,"@mercadopago necesito que comiencen a solucionar el tema de los ingresos por transferencia, tengo cosas que pagar ‼️‼️"
77,2023-03-06 14:38:15+00:00,alfonsinacons,@mercadopago casi 24 hs esperando la acreditacion de una transferencia que me hicieron. Quien soluciona esto? Que desastre son!
78,2023-03-06 14:33:58+00:00,jooonieminie,"@estebanchaves87 @mercadopago Estamos en la misma, estoy desesperada. La necesito con urgencia encima"
79,2023-03-06 14:32:28+00:00,jooonieminie,@DNDConsumidor @mercadopago @MP_ayuda ayer a las 6 de la tarde me transfirieron plata a mi cuenta y aún no se me acredita. La necesito con urgencia! Por favor den una respuesta contundente!
80,2023-03-06 14:30:31+00:00,estebanchaves87,"@mercadopago Me hice una transferencia A MI CUENTA de 38 LUCAS que salieron del banco y no aparecen acreditadas

Serias tan amable de darme MI PLATA antes de que me agarre un bobazo? Gracias https://t.co/UTwW19l0hf"
81,2023-03-06 14:29:48+00:00,josekatan,@CieloDiazz @mercadopago Mismo problema desde ayer
82,2023-03-06 14:25:40+00:00,MatidaSilva1,"@luujanp @mercadopago Lujan , muchas gracias
Estuve en contacto y me indicaron que me lo van a resolver...
Espero igual
ya tienen los comprobantes!!!"
83,2023-03-06 14:24:56+00:00,MatidaSilva1,"@IrishTheK @mercadopago SIII , gracias
Es que tengo bbva , no se que cual es peor
se caen a pedazos las app que tienen"
84,2023-03-06 14:22:37+00:00,AgusLujan94,"@sofibombino @mercadopago Tenés que reclamar. A mí el otro día me pasó algo similar. No fueron transferencias pero quería cargar el DirecTV, me rechazaba el pago e igualmente me sacaba el dinero de mi cuenta. Hay un número de wtsp para reclamos.. les dije que sentía que me estaban robando jaja"
85,2023-03-06 14:18:16+00:00,lamaga0108,@fmloiza @mercadopago nooooo
86,2023-03-06 14:18:11+00:00,Magalidato,@Fernandodjt @mercadopago Proceda
87,2023-03-06 14:16:49+00:00,Tasti_87,"Todo anda como el culo hoy??
La app de sube no funciona @TarjetaSUBEok 
Mercado pago no te deja pagar los impuestos con la tarjeta de debito @mercadopago 

Mis ganas de laburar también anda como el culo."
88,2023-03-06 14:16:07+00:00,Fernandodjt,@Magalidato @mercadopago La foto culo funcionó 👏
89,2023-03-06 14:15:45+00:00,ruky98745126,"@ValeBellene @mercadopago @MP_ayuda @BancoNacion La venganza de KRETYNA,No soporta que a los Argentinos les vaya bien,ella quiere ser la “QUEEN” de las SAQUEADORAS!!"
90,2023-03-06 14:14:59+00:00,germanderosas,@ValeBellene @CeSanz1 @mercadopago @MP_ayuda @BancoNacion Ayer desde ningún banco
91,2023-03-06 14:12:40+00:00,Uchangeth,"esta semana estuve teniendo problemas al recibir transferencias a mi cuenta de @mercadopago y no me dió la opción de contactar con alguien de AC en el servicio de ayuda, solo enviar formulario. Espero una pronta respuesta. @MP_ayuda"
92,2023-03-06 14:12:30+00:00,DNDConsumidor,"@AleXiusR4 @mercadopago @AyudaMp ¡Hola! Podés hacer tu reclamo acá → https://t.co/UqYjS3aAGI.
Recordá que las cuentas oficiales, tanto la nuestra como la de la empresa, tienen un tilde verificador al lado de su nombre. Ignorá los mensajes de las que no lo tengan."
93,2023-03-06 14:11:11+00:00,_lautynieva,@Fernand39088656 @mercadopago no pueden ser tan hijos de puta
94,2023-03-06 14:10:37+00:00,lea_barbieri,@mercadopago buen día. Puede ser que haya un retraso en la acreditación de las transferencias???
95,2023-03-06 14:05:15+00:00,solorepublicaMM,"@ValeBellene @mercadopago @MP_ayuda @BancoNacion el problema es banco nacion si Tenes plata en mercado pago y quieres hacer una transferencia podes hacerla yo acabo de hacerlo, no pude hacerla desde banco nacion"
96,2023-03-06 14:04:31+00:00,AleXiusR4,"@mercadopago @AyudaMp hola, ayer hice una transferencia propia a mí cuenta de Mercado Pago y aún no se acreditó, necesito solución urgente!! @DNDConsumidor"
97,2023-03-06 14:03:40+00:00,Finanzas07,Hola @mercadopago... su asistente virtual NO SIRVE. Deberían despedir a todo el equipo IT básicamente. Les escribo por MD y no responden.
98,2023-03-06 14:02:53+00:00,nancymonzon,@DNDConsumidor @mercadopago Muchas gracias!!
99,2023-03-06 14:02:50+00:00,luujanp,@MatidaSilva1 @mercadopago A mi me paso y me lo resolvieron por el chat de la app.
100,2023-03-06 14:01:40+00:00,AleXiusR4,@niko3k @CieloDiazz @mercadopago Estoy en la misma. Ayer transferí a mí cuenta de @mercadopago y aún no se acreditó
101,2023-03-06 14:01:36+00:00,LicenciadoP,"@ValeBellene @mercadopago @MP_ayuda @BancoNacion Los de MP en Ezeiza, ayer https://t.co/0XfStysq6G"
102,2023-03-06 14:01:26+00:00,DNDConsumidor,@nancymonzon @mercadopago ¡Hola! Podés hacer tu reclamo acá → https://t.co/UqYjS3aAGI. Recordá que nuestra cuenta oficial tiene un tilde azul verificador e ignorá los mensajes de las que no lo tengan.
103,2023-03-06 14:01:14+00:00,DChamorro89,"@ValeBellene @mercadopago @MP_ayuda @BancoNacion Me pasa lo mismo con BBVA, Lemon y Mercado pago. Desde ayer no aparecen 198K por ningún lado."
104,2023-03-06 14:00:20+00:00,9c8e2f3c52f349f,@mercadopago es una estafa punto seguro que deben estar recaudando para el premio de Gran hermano
105,2023-03-06 13:56:40+00:00,QUINTRALA192,"@mercadopago @abcdincl @SERNAC  Oye sernac me puedes ayudar ya que por on line no me dejan hacer el reclamo denuncia de estafa...
Página para que sirves ??
Estos mercado pago y abcdin store me ""ROBARON "" $ 79.000 QUIERO MI PLATA AHORA.."
106,2023-03-06 13:54:07+00:00,LuisPaez1972,@ValeBellene @mercadopago @MP_ayuda @BancoNacion Cuando carajos van a solucionar esto? Desde el sábado que no se puede hacer..  soy de neuquen
107,2023-03-06 13:53:36+00:00,hirt_mercedes,@ValeBellene @mercadopago @MP_ayuda @BancoNacion https://t.co/uSVWsS21rn
108,2023-03-06 13:52:58+00:00,hirt_mercedes,@ValeBellene @mercadopago @MP_ayuda @BancoNacion Macro tampoco #MercadoPago
109,2023-03-06 13:52:20+00:00,ValeBellene,@MarceloSibelli @CeSanz1 @mercadopago @MP_ayuda @BancoNacion Gracias por la info
110,2023-03-06 13:51:34+00:00,metalmauro,"Esta es la forma en que @ML_Ayuda @Mercadolibre @mercadopago ayuda a sus usuarios?
Son una verguenza. Devuelvan el dinero que nos tienen retenidos! https://t.co/VKeJ190n6U"
111,2023-03-06 13:51:22+00:00,zari__,"@chcibelli @mercadopago qué pasa con las transferencias? Ayer transferí, me debitaron de la cuenta del banco pero nunca llegó la plata a MP"
112,2023-03-06 13:49:24+00:00,IrishTheK,"@MatidaSilva1 @mercadopago Agrego: Evita usar mercado pago, solo montos pequeños, si te podes manejar de homebanking a homebanking, mejor. Por que se rompe cada 2 por 3"
113,2023-03-06 13:48:42+00:00,Joa1902,Pero lpm empecé el lunes para el orto y la app del @BancoNacion me comió x cantidad de plata (en una transferencia) que no se deposito en mi cuenta de @mercadopago
114,2023-03-06 13:48:20+00:00,IrishTheK,"@MatidaSilva1 @mercadopago Amigo, por experiencia. son por lo menos 48hs, si no se acredito posta es el tiempo que se demoran en devolverte la guita. 48 o 72, y que no te toque un finde en el medio."
115,2023-03-06 13:47:55+00:00,CieloDiazz,@dramatica_ahh @mercadopago Quiero creer que tenemos que seguir esperando 🙏
116,2023-03-06 13:47:34+00:00,niko3k,@CieloDiazz @mercadopago Acabo de tener el mismo problema hice una a mi cuenta de mercado pago y no me llegó
117,2023-03-06 13:47:22+00:00,cayatenow,"@ValeBellene @mercadopago @MP_ayuda @BancoNacion Según tengo entendido esta fallando COELSA, alguna novedad @BCRAusuarios ? O hay que esperar 10 días?"
118,2023-03-06 13:47:13+00:00,CieloDiazz,@chris_malagoli @dramatica_ahh @mercadopago Que bueno lpm ojalá pronto me llegue a mi 🤯
119,2023-03-06 13:46:12+00:00,andreafz100,Un solo estrés @mercadopago
120,2023-03-06 13:46:09+00:00,CieloDiazz,"@dramatica_ahh @mercadopago Que desesperación, necesito soluciones urgente!!!!!"
121,2023-03-06 13:45:51+00:00,chris_malagoli,@dramatica_ahh @CieloDiazz @mercadopago Yo hice ayer una a las 20hrs y recién se me acreditó
122,2023-03-06 13:45:20+00:00,dramatica_ahh,@CieloDiazz @mercadopago Dice q están teniendo problems con la acreditación instantánea pero no entiendo si es que hay q seguir esperando o nos chupo la plata???
123,2023-03-06 13:44:28+00:00,dramatica_ahh,@CieloDiazz @mercadopago A mi me pasa lo mismo
124,2023-03-06 13:43:02+00:00,CieloDiazz,No me llegan las transferencias bancarias a mi cuenta de @mercadopago hace de ayer!!!! A alguien más le está pasando lo mismo??
125,2023-03-06 13:41:34+00:00,Beln59461269,@mercadopago cuándo van a solucionar los inconvenientes que hay para que se acredite una transferencia??
126,2023-03-06 13:40:26+00:00,Fernand39088656,@_lautynieva @mercadopago 25 horas tienen q pasar me dijieron recien estos hdps para que hagan algo
127,2023-03-06 13:39:44+00:00,Fernand39088656,"@_lautynieva @mercadopago JAJAJAJAJJ, me comunique con mp me paso lo mismo, te la hago corta espera hasta 25 horas me dijieron y sí no recibis todavia comunicate con ellos qué te lo solucionan estos conchudos"
128,2023-03-06 13:38:13+00:00,_lautynieva,loco todavia no me llego nada  @mercadopago la concha d tu madre
129,2023-03-06 13:37:25+00:00,poche2014,@BancoNacion me sale error al intentar transferir a @mercadopago que pasa? alguna solución
130,2023-03-06 13:34:39+00:00,almafuerteist,@chris_malagoli @mercadopago Son un desastre
131,2023-03-06 13:32:50+00:00,sbustelo,"@chcibelli @Juancruzdimaio @mercadopago Genial, felicitaciones a todo el equipo por la capacidad de respuesta"
132,2023-03-06 13:32:04+00:00,santiaceveyy,Pésimo servicio @mercadopago 😬
133,2023-03-06 13:30:39+00:00,kafkito,"@mercadopago @kevindeltc hola, cuál es el límite actual diario para transferir desde mercado pago?????"
134,2023-03-06 13:30:33+00:00,chris_malagoli,@ValeBellene @mercadopago @MP_ayuda @BancoNacion Desde ayer esperando una transferencia de otro banco a mercado pago y todavía no llega
135,2023-03-06 13:29:48+00:00,MarceloSibelli,@ValeBellene @CeSanz1 @mercadopago @MP_ayuda @BancoNacion Me sucede lo mismo con Banco Provincia de Buenos Aires
136,2023-03-06 13:27:24+00:00,buenbit,"@ElFernetero14 @mercadopago @fedeogue @brubankarg ¡Hola! Buenos días. Si aún no se acreditó tu depósito, por favor enviá un email a soporte@buenbit.com para que puedan ayudarte. 
No olvides adjuntar tu comprobante, tu CVU y tu CUIL. Nuestro equipo responderá lo antes posible tu mensaje.

Muchas gracias. ¡Saludos!👋"
137,2023-03-06 13:27:03+00:00,juliantaffarel,Alguien más está teniendo problemas con @mercadopago ?
138,2023-03-06 13:26:46+00:00,ValeBellene,🔴#Mendoza Usuarios de #MercadoDePago @mercadopago @MP_ayuda  manifiestan no poder ingresar dinero al mismo desde sus cuentas de Banco Nación @BancoNacion https://t.co/xNEy6B6Vxt
139,2023-03-06 13:25:32+00:00,macamorann,"Pensé que mercado pago era como Twitter y me iba a regalar dinero con globito, pero ni feliz cumple me dijo @mercadopago ojo el marketing x ahí"
140,2023-03-06 13:19:57+00:00,chris_malagoli,@almafuerteist @mercadopago Me pasó en lo mismo todavía no se acredita el dinero
141,2023-03-06 13:19:13+00:00,almafuerteist,@mercadopago que desastre que son. Ayer a las 20 transferi desde mi banco a mp. Ni por asomo esta el dinero.
142,2023-03-06 13:09:23+00:00,marcelaver,"@mercadopago buen dia, quería consultar, cómo hago para obtener un libre de deuda de MP?"
143,2023-03-06 13:08:52+00:00,marcelorojook,@mercadopago @marcos_galperin hola buenos días estimados otra vez problema para ingresar dinero y pagar servicios con mercado pago??? Otra vez ??? Ya me parece que es hora de buscar otra billetera virtual
144,2023-03-06 13:08:03+00:00,AgusLemucchi,@CJacob93 @mercadopago Que genio! Muchísimas gracias 🙏
145,2023-03-06 13:07:53+00:00,nancymonzon,@SANTIAGODELMORO vos que publicitas @mercadopago sabes lo que están haciendo? #MercadoPago
146,2023-03-06 13:05:23+00:00,SentidoComunSSJ,"Hola, cuando funciona esto? Hace meses veo lo mismo. @mercadopago @Mercadolibre   @marcos_galperin https://t.co/vi17ynNySD"
147,2023-03-06 13:04:34+00:00,MarialexBlanco4,@mercadopago Por favor hace más de 12 horas que realice dos transferencia a mi cuenta de MercadoPago y no se me debita y no me dan respuesta
148,2023-03-06 13:03:25+00:00,chcibelli,@Juancruzdimaio @sbustelo @mercadopago Hola! Te van a estar contactando hoy para darte el paso a paso para resolverlo!
149,2023-03-06 12:59:11+00:00,Lukeamarello,"Buen día, se a enviado plata a una cuenta que ya estaba denunciada por robo del celular por equivocación. Necesito ayuda por favor @mercadopago @mercadopago"
150,2023-03-06 12:50:58+00:00,Lukeamarello,"Hola @mercadopago necesito ayda, respondan por favor"
151,2023-03-06 12:50:11+00:00,CJacob93,"@AgusLemucchi @mercadopago Buenas Agus! Ayer leí tu Tweet e informe el caso, ya lo están tratando como prioritario... Esperemos que se solucione en el transcurso del día, ya se estan impactando muchas transacciones."
152,2023-03-06 12:46:45+00:00,gragarcia1952,@mercadopago Sigue sin funcionar desde ayer?
153,2023-03-06 12:44:54+00:00,luuuleivas,"No está funcionando @mercadopago. No solo no te deja pagar, sino que me transferí dinero y nunca se acreditó 😭"
154,2023-03-06 12:34:06+00:00,carolshii,"Me transfirieron dinero desde un banco a @mercadopago ayer a las 20 hs, aún no se acreditó en mi cuenta. Estoy sin un mango viviendo al día y MercadoPago hace esto. Estoy esperando que se acredite el dinero para ir a comprar. No es una app confiable bajo ningún punto de vista :("
155,2023-03-06 12:32:40+00:00,nancymonzon,Murió @mercadopago ?#MercadoPago
156,2023-03-06 12:27:16+00:00,MGalarche,@LaAlfareraOk @mercadopago Pero
157,2023-03-06 12:25:24+00:00,MRD_CAB,@mercadopago que pasa que desde ayer no se acredita una transferencia en mi cuenta de MP???
158,2023-03-06 12:23:49+00:00,JoniBarea,Dale @mercadopago cuando vas a acreditar mi transferencia y dejarme operar???
159,2023-03-06 12:17:32+00:00,polacogomez74,"@LaAlfareraOk @mercadopago Despertarla!!...
Tocale el ojo 🤭"
160,2023-03-06 12:15:26+00:00,PabloFerraro11,@LaAlfareraOk @mercadopago Que empresa de mierda......
161,2023-03-06 12:07:45+00:00,sofibombino,Hace 24 hs hice dos transferencias y todavía no entraron!! Ah pero de @mercadopago ya se desconto!!!! 😡😡🤬
162,2023-03-06 12:07:36+00:00,Andreapjaro,"@mercadopago Jajaaaa es un chiste? Si me robaron la cuenta, los chorros que me la usan se pueden contactar desde ahí, son una tomada de pelo, tranqui... voy a defensa del consumidor y ahí me van a dar bola, una vergüenza"
163,2023-03-06 12:04:44+00:00,LaAlfareraOk,Por qué mí plata está durmiendo @mercadopago ? https://t.co/vSAr9yW84j
164,2023-03-06 12:03:00+00:00,Magalidato,Me hicieron una transferencia de $10.000 a mi cuenta de @mercadopago hace más de 12 horas y no se acreditó 🤬
165,2023-03-06 11:57:55+00:00,MatidaSilva1,"@mercadopago necesito una solución, no me han acreditado transferencias , tengo los comprobantes y NUNCA dió impacto.
No me dan una respuesta viable"
166,2023-03-06 11:51:32+00:00,niniatuca,@mercadopago Hola está funcionando mal mercado pago. Estoy esperando una transferencia desde ayer a la tarde
167,2023-03-06 11:46:16+00:00,josekatan,@ElIngeYisus @mercadopago Que desastre y era la q mejor funcionaba
168,2023-03-06 11:46:03+00:00,fmloiza,Creo que ya es hora de debatir la privatización de @mercadopago https://t.co/KsA4HStnPp
169,2023-03-06 11:44:29+00:00,ElIngeYisus,@josekatan @mercadopago Estamos igual...
170,2023-03-06 11:06:19+00:00,josekatan,@mercadopago  a alguien le ha llegado transferencias a MP desde ayer o soy solo yo q no me llega ?
171,2023-03-06 10:59:18+00:00,josekatan,@mercadopago ayer transferi desde banco a MP y hasta ahora no ha caido la transferencia
172,2023-03-06 10:47:00+00:00,nancymonzon,Si @mercadopago no responde por reclamos donde se debe denunciar @DNDConsumidor ?
173,2023-03-06 10:45:35+00:00,almafuerteist,@mercadopago ayer a la noche transferi a mi cuenta de mp y aun no la veo reflejada. Tengo el comprobante. Cuando lo depositan??
174,2023-03-06 10:21:15+00:00,lalaamorin,"@mercadopago ayer a las 21 quise ingresar dinero desde ICBC y decía q no se podía entonces hice transferencia de banco, que dice instantánea, todavía estoy esperando que ingrese el dinero 🤷🏻‍♀️"
175,2023-03-06 10:09:02+00:00,Emilie62073260,"@juancruzsanz @mercadopago @chcibelli See soy clienta de Marito y le pago siempre con mercado pago , es un fenómeno el pibe un laburante, hay 3 carnicería en su cuadra él único q tiene buena carne fresca y limpio es él, El Patrón un poroto, el olor q salen de esas carnicerías es un asco."
176,2023-03-06 10:08:56+00:00,Sub_Angelus,"@Nicoasis16 @serujio32 @mercadopago @Mercadolibre Siempre use MODO porque es el método de pago que tiene mi banco, y jamás ocurrió un error. Pero los negocios que insisten en pagar por @mercadopago me tocó pagar en efectivo, así que hace unos meces lo tuve que instalar y ya me pasó dos veces que me saca plata"
177,2023-03-06 10:03:02+00:00,V_bauza,"@mercadopago Continúa mi dinero sin acreditarse, quien se hace responsable? Estafa"
178,2023-03-06 09:39:16+00:00,Nicoasis16,@Sub_Angelus @serujio32 @mercadopago @Mercadolibre Me pasa también igual. Son unos cara dura
179,2023-03-06 09:38:31+00:00,ruysoller,Pleno séc XXI e fazer reconhecimento facial no @mercadopago é a coisa mais estressante do mundo. Impressionante.
180,2023-03-06 08:11:58+00:00,chcibelli,@juancruzsanz @mercadopago Fan de Maurito!
181,2023-03-06 06:00:07+00:00,Rosario71113533,"@karinschneid @mercadopago Me paso lo mismo! Qué pasa con el
Dinero ?? A donde fue? Porque de mi cuenta se descontó!!! Necesitamos soluciones x favor soy pobre"
182,2023-03-06 05:56:13+00:00,Rosario71113533,"@cristianaci @AgusLemucchi @mercadopago Yo hice una transferencia desde mi homebanking (tarjeta nación) a Mercado pago y. Jamás llegó, pero me descontaron el dinero de mi cuenta, alguien sabe que puedo hacer? Era bastante dinero"
183,2023-03-06 05:51:27+00:00,agusbellisario,@karinschneid @mercadopago A mi tmb
184,2023-03-06 04:53:23+00:00,juancruzsanz,"En Crónica charlamos con Marito Laurens, el carnicero de TikTok. Tiró un dato que me sorprendió: en su facturación diaria, @mercadopago ya significa más del 70% de cada transacción. Solo el 30%, por diversos motivos, paga en efectivo. @chcibelli"
185,2023-03-06 04:30:50+00:00,gordodulceleche,@mercadopago No entiendo lo de la hora
186,2023-03-06 04:19:27+00:00,chris_malagoli,@AgusLemucchi @mercadopago Hace 5 horas hice transferencia de banco a mercado pago y nunca llegó.
187,2023-03-06 03:49:09+00:00,guilebaldo,Si algún día ven que todo mundo habla de #Bitcoin será porque alcanzó un nuevo récord de precio. Hoy en día ya pueden comprar en @mercadopago desde $1 peso; aunque para ese entonces ya será muy tarde 🙃
